RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
102001,0,United States,country,,1345.7674142649926,1356.016940176822,1366.014991937698,1376.4079814138647,1382.738353207198,1388.471715508639,1390.4038559794706,1391.827378351364,1391.3220441427256,1390.9085593941086,1393.843615703135,1399.2437834227933,1408.7506966538533,1416.4060806426355,1424.6902954863776,1431.011974392378,1436.2503688927954,1438.5483003695715,1438.3958781485373,1436.7881308748092,1434.624236200935,1433.447044350801,1436.3035607945442,1443.4485719478998,1453.4009340696018,1463.8424295628233,1473.8924493167965,1482.5937116013279,1489.3737230553054,1492.4557349793267,1492.5907443280144,1490.4795392689894,1488.3638921624677,1488.0649740128522,1491.1803293259595,1496.8378970837289,1505.9771348451354,1515.6921987512337,1526.150385373307,1535.720355283727,1543.2116473943947,1548.4547410540092,1549.0060834855592,1548.147081149401,1547.037619590806,1547.7893858324562,1550.5886725963344,1556.0996115590115,1565.184436734117,1575.793867690937,1587.0691919337962,1597.5571076742326,1605.5570646263366,1609.8588764392864,1609.9056275107353,1608.2722750137887,1605.8189696377103,1606.20295498529,1609.496598785125,1617.5684778359666,1625.6304131458817,1624.5393224815027,1619.7962687105562,1616.261359347135,1621.2383150863564,1623.5771413175241,1621.8963285982636,1618.5475243047772,1619.1476777496187,1622.1351549009594,1627.0063458926224,1634.3143418756292,1649.4117269864864,1673.0426580381404,1704.477107233563,1739.3643426900558,1777.065631736837,1813.3670986089269,1842.554992297036,1861.3675736703885,1874.068882677277,1887.0525458049183,1895.8238840661709,1913.466746332313,1929.0214231760272,1954.6305371390122,1976.8809703439097,2001.8792919560417,2022.8101373021157,2036.3654800153022,2041.9515836606759,2040.0145928257796
394913,1,"New York, NY",msa,NY,2448.5576571934394,2467.589868200747,2485.5804451053264,2504.1454374506748,2513.4544519252386,2527.1043316804185,2533.8399839750514,2539.112299672327,2534.0089698849033,2524.9354168230248,2520.8361434475287,2522.5330538873163,2530.6331600022204,2539.5207861757467,2552.5921281897577,2567.819093011525,2576.7818432194363,2580.090637591355,2581.8379470293225,2576.7125985620632,2571.2086072042994,2560.389966751237,2556.6883737558496,2557.7828781054695,2564.5559229751716,2577.586161252847,2594.155696821114,2610.8765324317774,2624.4599473894586,2629.128410941608,2628.4854046474566,2619.3977331564947,2605.5117966792773,2595.4410176934402,2588.3272734329144,2590.779063194119,2597.0996270207565,2611.798865333446,2629.6564803779675,2647.1206687625963,2662.8319968213104,2673.852464121127,2677.0006270558256,2672.049780050233,2660.8618926781432,2649.6700957070666,2643.247780157827,2648.674461618723,2662.256391369358,2677.2486878040486,2699.1872720135743,2719.9065907640024,2740.353388211366,2745.0136316980843,2741.394341340545,2735.3703956682825,2724.137045272733,2714.1571340143814,2709.968915566678,2723.585598398181,2738.930691215477,2735.204447544772,2715.190564378162,2689.1046522773954,2664.5097647525763,,,2517.5652530722414,2487.939466218283,2474.1523871588724,2471.250687039335,2473.4466710918996,2491.1024785994273,2521.3236333952877,2570.298652670857,2625.4387037180563,2689.4847093726326,2750.722790156949,2803.6447865275313,2837.6183723551626,2858.9531873112983,2878.2655534395876,2898.815596323589,2938.188261592482,2981.9475568659245,3037.3128024160856,3097.012993523808,3159.6505801215926,3214.1139983071744,3238.281706537345,3235.1530646163783,3211.6145493811746
753899,2,"Los Angeles, CA",msa,CA,1958.41506177888,1971.4126911066091,1984.6864661893035,1996.223520304138,2012.5264189885947,2026.84379892398,2038.655096097988,2044.2904180153173,2050.7483575151573,2054.858208653442,2064.7104043966597,2076.558150512876,2092.1377445825947,2101.229510526229,2112.5818895703164,2124.397198329629,2138.6242761394064,2147.0805800386584,2154.6327187400393,2159.176085498413,2162.283667764766,2165.2481534721633,2173.904679925678,2187.648871583995,2203.9957913856865,2219.60361411396,2234.5871096579863,2245.0450934126634,2257.6089303629105,2264.9969784926243,2272.7634873126317,2274.186697404217,2277.0823758751453,2278.8253667333206,2284.870510322826,2292.6624512378116,2303.919741479082,2314.681516847488,2325.956020418301,2338.4801241981418,2348.879733069335,2359.847870686718,2366.1612429491192,2372.169600464175,2376.840430895857,2382.150102532389,2387.7191353435446,2392.469545876853,2399.02815278947,2408.801039594323,2418.962257315563,2432.0104972190347,2441.5264227840075,2451.350213208552,2457.0333056850423,2460.1826334882608,2461.2540880785086,2465.2272113121667,2471.188992994398,2477.8249099744835,2478.7948686461878,,,,2426.799362564161,2426.2613518608605,2427.768004266535,2429.725904296803,2438.4447262736485,2439.722983893698,2440.014041037111,2443.3331811969683,2457.8140872926447,2479.190387708623,2507.6669497262424,2544.820123505811,2593.7085585708205,2653.0138952152392,2700.772485564398,2735.085606029273,2752.1514261033044,2772.8382797029126,2791.927804619332,2819.184130770846,2849.0504189205312,2884.6766905093086,2918.845948437599,2943.440422394161,2964.2189469427053,2976.8226632830497,2983.9828336180885,2979.3197773484135
394463,3,"Chicago, IL",msa,IL,1423.5441256201877,1436.3156904451805,1447.457060878592,1471.1202014612436,1477.492074476361,1483.756181032041,1481.7741413852152,1475.0605187325805,1464.6501140659761,1460.2905999316104,1464.8082242402409,1474.9053567795534,1486.589170461191,1495.8315409297861,1506.3195398755563,1515.1757166483224,1522.3608995691704,1523.3989212315992,1517.2988755589188,1505.8834461523936,1494.1882447226133,1487.9915702515477,1489.415625773686,1502.039988415373,1517.8054419718808,1534.69565473955,1545.91482145333,1553.1774655955255,1557.3619130134498,1555.8003571474128,1549.759489457502,1539.4065361668554,1530.099691101357,1526.8814159396075,1530.7179004254774,1538.2783734462826,1549.808676509184,1559.902280832986,1572.1699910330417,1582.1348072835362,1588.955107846769,1588.540317548683,1582.1970447210163,1571.258205293482,1563.219368904467,1557.9274620864003,1562.391945770855,1570.427842095014,1583.9887619935232,1598.269682594084,1611.7420086268694,1622.6548887770477,1628.7690967866824,1629.7091800662988,1626.0239918113714,1618.7999092264404,1609.4319586441559,1603.9826061569077,1607.0104006420004,1618.0917585685484,1631.190866094409,1633.9217311618959,1632.492125264961,1627.5133649693112,1626.8852445315151,1620.3439104715178,1605.7520335428114,1585.5858280402583,1569.156658647721,1559.821593029759,1557.3724926705515,1560.349238281863,1576.4461928372025,1605.2279398318458,1640.464457398481,1670.381342594122,1691.685430603611,1708.848457953871,1717.183756223801,1719.795798858941,1719.5787992814878,1727.3571707503459,1740.5620171929431,1755.516243231788,1773.3112236831805,1794.537492410959,1819.9026689099207,1840.6728599899257,1859.7229577584396,1867.9614960377362,1870.7949647603882,1868.836760751552
394514,4,"Dallas, TX",msa,TX,1176.9712367198285,1187.4740718605897,1199.7060024838684,1207.7114726216646,1213.9955614778182,1218.8030391810694,1221.4477832066518,1220.4198154166654,1219.6027474352497,1219.082158203723,1223.2200591634,1229.5092761744413,1241.323638764681,1250.3977588406415,1259.160793524585,1264.1613345918033,1270.1422602947111,1273.0991319228817,1273.2333338121284,1272.7016441218361,1273.3433890244687,1274.6875340776085,1278.2991058172947,1282.048708183372,1291.9739622100187,1301.0986337388092,1313.7601480180015,1322.6327635439725,1329.6841489004937,1332.5710767624932,1331.7184063769553,1331.4099257260034,1327.8650627895372,1327.6569454103692,1329.290820160192,1336.974527965385,1343.079597320342,1350.3730588895905,1354.6266277556872,1363.1113259679873,1368.879750910876,1374.5692503300356,1373.4304249156946,1374.9036351820464,1375.5601383239518,1375.8359442925412,1376.5232959538837,1381.339924062136,1389.8459409813938,1399.3100695808319,1407.4106139271057,1418.4409644856926,1424.6841347211798,1426.8693115944939,1426.8156887403416,1425.3210984802038,1422.8460599823763,1419.3105337922252,1419.3104694780175,1425.0995020796413,1432.341233674574,1432.0356483889598,1428.9797005325427,1428.1375457125941,1432.9050645636644,1436.7492851601762,1437.598151958119,1441.497532033931,1445.552344290482,1450.497681337718,1454.48541981023,1461.8337110460664,1474.9382987404495,1497.4037326172827,1527.9366207036503,1566.1091492833532,1606.4396019289877,1644.729847748296,1673.4994216380244,1689.2556798088249,1703.082984575499,1713.569680463764,1725.4562975034303,1736.6066651558883,1748.211094157027,1770.468692473404,1798.221092990158,1832.1194791939513,1856.5425294171284,1866.6835778006073,1865.9557860890209,1854.6224597539774
394692,5,"Houston, TX",msa,TX,1257.587636106361,1265.2896316241524,1274.0041186788949,1283.100709400037,1288.0615034477476,1292.2692644946235,1291.075442668163,1286.8528769472075,1282.6986687555072,1279.5412919721298,1280.0385944928498,1283.2164513497623,1290.2275816893455,1293.949088765221,1293.5407186929447,1292.1438905441505,1291.6426725687356,1289.2126870799698,1284.0846812878672,1280.285228598432,1274.397199846753,1270.9143264116074,1267.590195029122,1273.4859516809527,1281.2413518192202,1288.4031678612569,1294.536865759921,1296.8172152686552,1298.0572259373043,1296.4914999516147,1298.7223021174195,1307.520498169776,1316.3856502839042,1322.9958475567753,1324.275997359575,1326.444153529114,1329.9783442679652,1336.379492567757,1341.3252070450465,1346.344138063027,1349.812821308854,1350.4726254804366,1348.1457198914904,1345.4458662805384,1347.5214247725994,1346.73185472178,1345.6602228959487,1343.6127829919674,1347.8530688057785,1353.1614895971666,1360.5913752186161,1367.6846406777906,1373.2186836361504,1373.5131251940354,1369.823774224222,1367.7209200544294,1366.6516127158188,1369.9713997647555,1371.908754319246,1375.1925904243672,1377.9943803717485,1372.4497797859335,1364.4252779393332,1357.1240472394634,1357.8330021263957,1360.7137340364793,1362.0590314008807,1365.951464021492,1370.391155676039,1372.4044742802873,1370.046229539324,1367.4291231226143,1372.8771971856434,1387.9981015875924,1414.6153510579743,1445.837267358206,1476.8771994967544,1503.2499866705148,1515.8600760977986,1524.8202091035191,1528.057924066944,1536.608519625949,1539.1315449665872,1547.918846775774,1555.9324591788638,1570.5074978869086,1584.2223647126464,1598.8641988386744,1610.9306584175495,1617.9705248132043,1617.26045472256,1613.3042676737816
395209,6,"Washington, DC",msa,VA,1794.0700170224166,1803.9577143770507,1810.718278040026,1819.9460673156175,1823.6010882211897,1826.8940839158547,1823.7920870188007,1823.2465799717274,1817.864839555861,1816.677187640863,1814.8767389104594,1820.7182763795402,1829.7768930873522,1837.5646026482643,1846.4961749633715,1852.0397839568402,1850.9831961313064,1851.7067417748922,1845.3082720090665,1844.9380745774727,1836.0332306187277,1833.2393951749052,1835.3958326574846,1844.3201869615352,1856.0739808309213,1867.633176202005,1877.0734635728272,1885.036347692863,1887.7277952153668,1889.2875083512258,1887.0326222593526,1879.6824306082262,1868.7462592964741,1861.2901879948236,1862.2747334964054,1869.5292520200471,1879.8461047103428,1893.0757597851655,1904.9801479153227,1917.5745087462499,1926.2475766156822,1932.0682958038437,1928.2053346160492,1923.0896406137147,1919.1587273854468,1919.609277156905,1923.3344625155194,1930.2348264409604,1940.344640398599,1952.3832616405512,1964.4496034371582,1976.9540719672991,1984.191445108473,1988.047926382857,1988.1040300589018,1983.0246335123966,1976.2460828859137,1969.3146629776581,1972.0903972640513,1978.338317642201,1988.896414754256,1986.0311249785173,1977.3954377005705,1967.8343955975292,1964.8132536275714,1960.1814722871077,1945.3957360346656,1926.7668191601344,1905.9087314397214,1895.47628436351,1892.6254934893416,1901.3842896512213,1911.4595094019894,1932.7226444200573,1963.3339820607964,2003.8790083802112,2044.7544422033557,2081.3348143256103,2105.379571992616,2118.585905174406,2121.25865244532,2125.7191709309373,2128.434439434792,2138.051700627869,2151.862307066029,2173.832644248743,2197.9227445431584,2223.2594879809517,2245.2202860616085,2260.866358632881,2265.650232794671,2256.6406568272764
394856,7,"Miami, FL",msa,FL,1627.969180753524,1634.4969372571989,1641.7170481616085,1652.260067387153,1660.2862935702335,1668.5740804544089,1676.8696929977875,1691.1429175724552,1701.8818852857821,1706.492605392512,1709.6717105842201,1713.1308552339842,1720.1527144031902,1720.699008806857,1721.3443474395488,1720.3195320114753,1723.241872258419,1725.3959719922839,1728.028783657028,1731.065518880775,1734.5279894458358,1735.1835466851073,1739.1504008979796,1742.4215013199748,1749.2380858459942,1751.0408994248114,1752.97306899548,1756.8686738522888,1763.0648301488025,1769.3693957674386,1772.983743118392,1778.988606081557,1782.0943272924098,1786.512949107266,1787.922647954912,1791.059475137176,1793.641549799834,1796.4339151521344,1799.9261896176063,1805.884910897541,1811.3345685863687,1819.483767226659,1825.5095356959941,1834.4196115806906,1839.6303471048125,1844.9227881154177,1844.6682966403268,1845.8731797139262,1848.0673473440984,1851.6276407566006,1854.699835610766,1857.5516009852881,1863.5892569002735,1868.08310267148,1874.7735306135548,1883.7469557329885,1894.6991169160653,1903.9215957695528,1907.358708567683,1911.4392590565703,1912.5862547340726,1906.8830318814682,1893.8395625850708,1883.9423267745433,1886.868106507765,1894.2850793141706,1903.1418340697744,1911.5699580599287,1928.5583653440294,1947.1055857891952,1971.6723997087545,1991.3846807979564,2019.4703506519058,2053.1648108682325,2101.2403451158443,2158.7487921776737,,2305.499704893589,2374.6976622803377,2428.40835211605,2481.600551439684,2538.7784931925385,2584.5670414343767,2626.031378039996,2666.991038453986,2715.1922514279267,2761.731779970232,2787.9763560380757,2808.2252728419858,2809.3052128395993,2822.3069540514375,2826.688836653449
394974,8,"Philadelphia, PA",msa,PA,1309.743128563353,1315.6298046689487,1324.820579303454,1330.1380133816724,1333.8096967397569,1335.9818824461306,1335.0759778368238,1332.9538459922237,1329.5879917270051,1327.4374837980897,1330.2485880541815,1334.0677104943907,1344.0751053843785,1351.9996588938332,1361.2521087461967,1366.0549940077321,1367.4421255698394,1365.1980544445507,1362.7790786947496,1360.9448717006633,1362.1332854709572,1360.650656114204,1362.3469887245897,1367.323097719868,1376.0692697347945,1386.0051211449527,1392.5454395076442,1397.8796134508161,1399.5388460565725,1400.9153393830954,1398.5058733439926,1397.6656828027958,1396.5676526149573,1400.0990568200953,1399.9574718302747,1403.171946662929,1409.7749405867105,1420.9755009567673,1432.698488832531,1439.2961731859546,1443.5349681154912,1443.4911655177914,1442.986308460071,1442.7340226419115,1442.1276968509146,1442.8435295355746,1446.6672035069305,1452.5871203460817,1462.086279330253,1471.312684080149,1479.484589348872,1488.2746088140257,1493.9070896091237,1496.7919902834117,1494.854898745939,1493.066625625783,1492.7483404314946,1492.8027485737207,1493.9637820666928,1502.5304840126557,1511.8137658955818,1513.6228921766208,1511.785039069121,1509.6524040673496,1515.2283650402799,1518.6544124040847,1520.1018148775227,1518.4962130522529,1518.420838348587,1521.157611662525,1523.6037255466529,1523.8862673548335,1530.0483410937231,1545.4557871385562,1569.648105651341,1592.3129507327717,1615.4295758743024,1641.0065490827913,1663.254492322429,1679.4609900104483,1684.9098239858101,1697.924848920621,1701.5074981689177,1712.598078843159,1719.135936294295,1736.6716113713417,1752.1346669878628,1768.3001847243754,1784.617868012454,1795.46315665345,1797.702429354715,1793.0281169387583
394347,9,"Atlanta, GA",msa,GA,1112.2582337016765,1121.3533636345574,1131.7128713518057,1142.3326280501076,1151.7068134711808,1156.2439609752228,1158.0663691859893,1157.504609251752,1158.1615438670906,1160.0821204555673,1163.652836559501,1169.9044349604042,1181.5087824627055,1191.2396107267257,1200.9696187000213,1208.2370769617235,1217.843703079388,1223.2486658143491,1225.330704622905,1227.4692700470266,1227.627279609256,1227.1938713336044,1228.6053578504411,1235.9417995143683,1247.1781718937775,1257.991879697078,1269.6913498957251,1280.6872239943527,1291.2508991741545,1298.7319613111276,1303.1934208585674,1301.8334132148766,1299.6258736937284,1299.0550544260427,1304.0821405137444,1311.1894221020334,1321.3951019727124,1331.9420044724104,1346.5385744714001,1356.8330875315519,1365.9653663131016,1371.2053022419793,1376.390896091729,1380.5753808221828,1383.6042609903145,1386.5731777193844,1393.8525596263692,1399.652593320865,1409.9972450852724,1418.6933571648258,1431.0448820131223,1440.841169422167,1448.4969381089456,1454.1986653788701,1457.2877947201184,1457.4360592567637,1454.6451335795143,1453.520945059153,1456.532906104449,1464.5609760586622,1473.003683490424,1473.4805013516243,1471.6366241238356,1473.7832429371795,1485.8671042109193,1501.5692931626306,1513.039072618421,1523.7779637488804,1530.5534005717213,1541.1458838303301,1551.8369567924685,1568.8732754924488,1589.2181980920748,1617.2116841373468,1650.9274559295466,1693.4149686105443,1743.310226879376,1798.078948721106,1839.5769971243365,1867.4343473548379,1877.5564125409396,1883.5841250653887,1886.180921333063,1895.1721700952787,1907.638453617046,1916.689007843006,1933.0803581104608,1953.7890005050497,1982.9070606384273,1999.3659879448549,2007.3816432322851,2002.113616671201
